date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_mlp_8,yt_pred_stacked_mlp
1946-01-01,1095.0249999999996,1444.1986161805128,1197.3892389014293,890,,
1946-02-01,1077.3934210526313,1417.7272045877332,1182.2558001361904,992,,
1946-03-01,1214.077631578947,1545.5715803337591,1321.1474334396962,979,,
1946-04-01,1322.1302631578942,1644.7843762768816,1431.1167703908943,959,,
1946-05-01,1385.0249999999996,1698.8392767431951,1495.6374952003112,1110,,
1946-06-01,1539.498684210526,1844.4731228817673,1651.4464499732094,1546,,
1946-07-01,1929.7092105263157,2225.8438084213494,2042.701529446432,1539,,
1946-08-01,3034.498684210526,3321.793435276575,3148.244838883137,3401,,
1946-09-01,2284.7092105263155,2563.1641266766246,2398.918483546481,2092,,
1946-10-01,1815.656578947368,2085.2716571630012,1930.03825291015,1436,,
1946-11-01,1636.1302631578944,1896.9055003584504,1750.3936206583537,1301,,
1946-12-01,1397.603947368421,1649.5393429107305,1511.458271001618,1287,,
1947-01-01,1220.8175438596486,1464.404198859502,1362.5325221780918,1488,,
1947-02-01,1203.1859649122805,1438.914991556775,1344.9249807775218,1517,1260.8287581197685,1205.909176660877
1947-03-01,1339.870175438596,1567.7415715928537,1481.3748133795784,1707,1360.0203665067072,1282.3323781895376
1947-04-01,1447.9228070175434,1667.9365718260287,1588.9346515632096,1729,1434.9276830258295,1273.4332926946756
1947-05-01,1510.8175438596486,1722.9736765823943,1651.0781795389416,1788,1488.115979613748,1335.6017470015547
1947-06-01,1665.291228070175,1869.5897270110197,1804.5422394120371,2008,1665.903380475544,1497.3697155066307
1947-07-01,2055.5017543859644,2251.942616840654,2193.4847259193393,2203,1959.1560238786856,1863.9579449148594
1947-08-01,3160.291228070175,3348.8744479859324,3296.747744324006,3713,2746.777458137372,2894.159199623362
1947-09-01,2410.5017543859644,2591.2273436760343,2545.173399889194,2946,2630.703128844552,2863.7753410396167
1947-10-01,1941.4491228070171,2114.3170784524636,2074.077482088589,2082,2093.5975277327284,2029.6152359782673
1947-11-01,1761.9228070175436,1926.9331259379655,1892.2494646064,2033,1741.7666614193508,1480.942472020926
1947-12-01,1523.39649122807,1680.5491727802978,1651.1630316531543,1937,1677.8859347553464,1537.4542162262412
1948-01-01,1346.6100877192978,1496.3962330191223,1500.118501467,1711,1753.5357886832237,1652.0117303249663
1948-02-01,1328.9785087719297,1471.889230006448,1480.4244806376842,1775,1739.437567935572,1669.055356603779
